date,forecast,std_error,lower_95,upper_95,lower_80,upper_80,coefficient_of_variation,uncertainty_ratio_95,prob_exceed_historical_max
2026-01-06,875549.7647914755,1982804.8369427898,-3010676.303988207,4761775.833571158,-1665516.8781619626,3416616.407744914,226.46397916799427,8.877224859297957,0.6054365038479694
2026-01-07,890691.7006835727,2010011.526115256,-3048858.499012719,4830241.9003798645,-1685241.717372125,3466625.1187392706,225.66860391453596,8.846046722278503,0.6015003380072802
2026-01-08,876587.2753265952,2035955.7302408195,-3113812.630063357,4866987.180716547,-1732594.978143027,3485769.5287962174,232.25932973784862,9.10439842719192,0.6025906114203933
2026-01-09,889725.2793485495,2062400.1047757778,-3152504.647723609,4931955.206420708,-1753346.8037061966,3532797.3624032955,231.80190027711163,9.086467521821682,0.5991500052017156
2026-01-10,877487.4784235015,2087748.9046791906,-3214425.1835106583,4969400.140357661,-1798070.39883214,3553045.3556791428,237.9234981711706,9.326429749825516,0.5999686279462157
2026-01-11,888886.7572812978,2113493.5023660534,-3253484.3889155863,5031257.903478182,-1819664.1494442583,3597437.664006854,237.76858919917686,9.32035742970572,0.5969491802075881
2026-01-12,878268.5457845054,2138283.771900337,-3312690.6358666155,5069227.727435626,-1862052.3696729848,3618589.461241996,243.46582627416478,9.54368501927297,0.5975430968475114
2026-01-13,888159.2078866526,2163383.1844457504,-3351993.918386591,5128312.334159896,-1884327.899012662,3660646.314785967,243.58056137181237,9.54818255245601,0.5948826289044618
2026-01-14,878946.2442111407,2187648.146248862,-3408765.3332824423,5166657.821704724,-1924637.6624748316,3682530.1508971127,248.89441881764785,9.756481936712362,0.5952909152654461
2026-01-15,887527.9446887936,2212150.315345055,-3448207.001776437,5223262.891154024,-1947456.755161643,3722512.6445392305,249.24852547834223,9.770362662745296,0.5929372919703491
2026-01-16,879534.253876368,2235920.056223373,-3502788.5286322157,5261857.036384951,-1985912.5946092666,3744981.1023620027,254.21637035385612,9.965098603481078,0.5931925070462845
2026-01-17,886980.224866739,2259867.3175582555,-3542278.3273865827,5316238.777120061,-2009156.27387312,3783116.723606598,254.78215344629365,9.987276893165863,0.5911018832012538
2026-01-18,880044.4444756254,2283169.2077004556,-3594884.9732281175,5354973.862179369,-2045954.628056118,3806043.5170073686,259.43794339397056,10.16978050550647,0.5912311772506048
2026-01-19,886504.9920248926,2306599.139412475,-3634346.2479946413,5407356.232044427,-2069520.7461729925,3842530.7302227775,260.19020311931945,10.199268544880548,0.589366577426868
2026-01-20,880487.1148311712,2329458.1773480065,-3685167.01626324,5446141.245925582,-2104833.6592198377,3865807.8888821807,264.56470947841956,10.3707460431601,0.5893926031411738
2026-01-21,886092.6530061546,2352404.295128542,-3724535.04252312,5496720.34853543,-2128634.7542096707,3900820.06022198,265.48062295153716,10.406649191565412,0.5877227651096726
