district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
Mumbai,1616.888888888889,1815.0408703693454,4265.0,1608.3333333333333,8.555555555555555,0.4211111111111111,0.3998888888888889,Maharashtra,1.1218575532809634,168.31395348837208,0,1,-0.4818640462037586,34.69848605734586,0
Mumbai City,325.44444444444446,405.769981366017,988.0,307.0,18.444444444444443,0.227,0.2995555555555556,Maharashtra,1.2429985814479758,15.78857142857143,0,1,-0.36590748942646883,1.633750567240881,0
Mumbai Suburban,2024.0,1806.18036197939,5571.0,1936.2222222222222,87.77777777777777,0.4072222222222222,0.25344444444444447,Maharashtra,0.8919409194959951,21.809762202753443,0,1,-0.47284969372282704,32.12806495585497,0
Mumbai( Sub Urban ),69.83333333333333,58.724498011193475,138.0,69.83333333333333,0.0,0.5873333333333334,0.28099999999999997,Maharashtra,0.8290517366286139,69.83333333333333,0,1,-0.4300201664715803,19.915327452372367,0
Mungeli,328.55555555555554,404.80585195594415,914.0,328.3333333333333,0.2222222222222222,0.274,0.28444444444444444,Chhattisgarh,1.2283387281198574,268.6363636363636,0,1,-0.41085476363709283,14.450358563198279,0
Munger,676.3333333333334,521.8064775374104,1615.0,664.3333333333334,12.0,0.5944444444444444,0.39644444444444443,Bihar,0.7703835790414523,51.1025641025641,0,1,-0.4479236525187886,25.020463780615472,0
Murshidabad,3990.1111111111113,5272.448279605132,13877.0,3980.5555555555557,9.555555555555555,0.28355555555555556,0.25922222222222224,West Bengal,1.3210477315268983,377.10526315789474,0,-1,-0.6982851572869084,96.41044949709223,1
Muzaffarnagar,1327.6666666666667,1182.426107627872,2993.0,1313.888888888889,13.777777777777779,0.40044444444444444,0.30833333333333335,Uttar Pradesh,0.8899343509492262,88.90977443609022,0,1,-0.423161818856139,17.959685994000154,0
Muzaffarpur,3206.1111111111113,1587.630029670361,5444.0,3132.222222222222,73.88888888888889,0.7073333333333333,0.19577777777777777,Bihar,0.49503430803191684,41.82492581602374,0,-1,-0.5589523208104403,56.68002362709297,1
Mysore,341.44444444444446,405.99510807123994,817.0,341.22222222222223,0.2222222222222222,0.31833333333333336,0.3224444444444445,Karnataka,1.1855794849581958,279.1818181818182,0,1,-0.4321489230380019,20.522337308026678,0
