district,cis_mean,adult_child_ratio,enrol_mean,enrol_std,enrol_max,child_enrol_mean,adult_enrol_mean,momentum,coverage_gap,update_lag,num_pincodes,enrol_per_day,state,enrol_volatility,child_proportion,zero_cis_flag,negative_momentum_flag,state_avg_cis,relative_to_state,high_risk,predicted_risk,risk_probability,risk_score,risk_category
Nayagarh,0.2403684210526316,1.7079473684210527,129.78947368421052,265.6446203624033,969.0,129.21052631578948,0.5789473684210527,0.11105263157894736,0.35626315789473684,2551.2715789473687,7.368421052631579,0.021775402894736843,Odisha,2.031085628525418,0.9879275653923543,0,0,0.3008145225870375,-0.06044610153440591,1,1,0.9983109034948364,99.8,🔴 CRITICAL
East Godavari,0.17255555555555555,6.263111111111111,853.1111111111111,1056.458404818245,2503.0,852.0,1.1111111111111112,0.28988888888888886,1.7843333333333335,28210.00011111111,62.55555555555556,0.025869091444444443,Andhra Pradesh,1.236909801400313,0.997528294523221,0,0,0.21832202218585198,-0.04576646663029643,1,1,0.9978757556834933,99.8,🔴 CRITICAL
Imphal East,0.08388888888888889,2.966333333333333,125.77777777777777,151.49321583636822,323.0,124.77777777777777,1.0,0.3035555555555556,1.1666666666666667,3881.329,4.888888888888889,0.036727269444444446,Manipur,1.1949508698749467,0.9842243645924628,0,0,0.15960000000000002,-0.07571111111111113,1,1,0.9977154582763339,99.8,🔴 CRITICAL
Kolhapur,0.2691111111111111,6.500333333333334,831.1111111111111,1025.0845629074272,2464.0,823.1111111111111,8.0,0.2876666666666667,1.434,19075.99566666667,34.0,0.03536942666666667,Maharashtra,1.2319082742912064,0.9891841367338764,0,0,0.44120389616293876,-0.17209278505182768,1,1,0.9982033351264121,99.8,🔴 CRITICAL
Madanapalle,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Andhra Pradesh,,0.0,1,0,0.21832202218585198,-0.21832202218585198,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Near University Thana,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Haryana,,0.0,1,0,0.3328552469135802,-0.3328552469135802,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Balangir,0.25152631578947365,2.8012105263157894,298.42105263157896,585.5728738963877,2149.0,295.4736842105263,2.9473684210526314,0.11505263157894736,1.1344736842105263,4160.13747368421,10.736842105263158,0.032751818105263154,Odisha,1.9556837061050036,0.9868166637370362,0,0,0.3008145225870375,-0.04928820679756385,1,1,0.9976872623528017,99.8,🔴 CRITICAL
Balanagar,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Telangana,,0.0,1,0,0.24095338217338216,-0.24095338217338216,1,1,0.9981919241031805,99.8,🔴 CRITICAL
Warangal,0.15683333333333332,2.7636111111111115,222.83333333333334,334.2426469779455,1121.0,222.83333333333334,0.0,0.20883333333333332,1.2610000000000001,5083.121388888889,26.88888888888889,0.020970768666666667,Andhra Pradesh,1.493265734823286,0.9955323901712584,0,0,0.21832202218585198,-0.06148868885251865,1,1,0.997502493110774,99.8,🔴 CRITICAL
Angul,0.15225,1.757125,188.125,387.75075757501753,1389.0,187.25,0.875,0.049687499999999996,-0.06537500000000002,2972.80875,7.0,0.023692852125,Odisha,2.050235334170615,0.9900859220092532,0,0,0.3008145225870375,-0.1485645225870375,1,1,0.9983109034948364,99.8,🔴 CRITICAL
East Siang,0.12355555555555557,2.415111111111111,18.666666666666668,24.839484696748443,56.0,18.444444444444443,0.2222222222222222,0.254,0.2222222222222222,192.11655555555555,0.7777777777777778,0.031039094444444446,Arunachal Pradesh,1.2630246455973784,0.9378531073446327,0,0,0.17341444444444445,-0.04985888888888888,1,1,0.9983337575272092,99.8,🔴 CRITICAL
Auraiya,0.1888,2.8521,373.3,536.9725939623611,1492.0,371.6,1.7,0.2432,-0.1715,5732.7618,6.9,0.054892719,Uttar Pradesh,1.434604846279351,0.9927865348650815,0,0,0.4793220677361854,-0.2905220677361854,1,1,0.9981173679266798,99.8,🔴 CRITICAL
Dhenkanal,0.25777777777777783,1.7790555555555554,167.61111111111111,347.31611959151076,1282.0,167.16666666666666,0.4444444444444444,0.11883333333333335,0.405,3264.485,7.444444444444445,0.02704337461111111,Odisha,2.0598649596860605,0.9914332784184513,0,0,0.3008145225870375,-0.043036744809259675,1,1,0.9983109034948364,99.8,🔴 CRITICAL
