state,district,month,enrol_total,cis,anomaly_score,anomaly_type
Maharashtra,Mumbai,2025-11,4166.0,0.703,-0.0637353944692311,Policy Event (High Enrollment Spike)
Maharashtra,Mumbai,2025-12,2554.0,0.589,-0.0471646189590115,Unclear (Needs Investigation)
Maharashtra,Mumbai Suburban,2025-03,0.0,0.0,-0.0275977364466426,Data Quality (High Lag + Low Count)
Chhattisgarh,Mungeli,2025-07,0.0,0.0,-0.025425623740465,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-03,0.0,0.0,-0.072596099760174,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-06,0.0,0.0,-0.0067229832406155,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-07,0.0,0.0,-0.0839858985732848,Data Quality (High Lag + Low Count)
West Bengal,Murshidabad,2025-09,13877.0,0.686,-0.08916868791094,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-10,8985.0,0.775,-0.0541517087544655,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-11,8427.0,0.621,-0.0672450210027778,Policy Event (High Enrollment Spike)
West Bengal,Murshidabad,2025-12,4622.0,0.47,-0.0275248233743995,Policy Event (High Enrollment Spike)
Uttar Pradesh,Muzaffarnagar,2025-03,0.0,0.0,-0.016027957185041,Data Quality (High Lag + Low Count)
Bihar,Muzaffarpur,2025-03,74.0,0.014,-0.0284806111606856,Unclear (Needs Investigation)
Bihar,Muzaffarpur,2025-09,5444.0,0.653,-0.0115671288618288,Unclear (Needs Investigation)
West Bengal,Nadia,2025-09,5134.0,0.669,-0.0017109812788953,Policy Event (High Enrollment Spike)
Rajasthan,Nagaur,2025-03,0.0,0.0,-0.0565575532240982,Data Quality (High Lag + Low Count)
Rajasthan,Nagaur,2025-09,6227.0,0.817,-0.033230687418551,Policy Event (High Enrollment Spike)
Maharashtra,Nagpur,2025-03,0.0,0.0,-0.0748102228039081,Data Quality (High Lag + Low Count)
Maharashtra,Nagpur,2025-06,0.0,0.0,-0.0206549376824974,Data Quality (High Lag + Low Count)
Maharashtra,Nagpur,2025-11,2747.0,0.542,-0.0264135284164144,Unclear (Needs Investigation)
Bihar,Nalanda,2025-09,3687.0,0.625,-0.0291161041950697,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-03,0.0,0.0,-0.0542144498466219,Data Quality (High Lag + Low Count)
Maharashtra,Nanded,2025-06,584.0,0.998,-0.0251840083808367,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-07,1803.0,0.924,-0.0270150787101319,Unclear (Needs Investigation)
Maharashtra,Nanded,2025-11,1599.0,0.47,-0.0952432426379018,Unclear (Needs Investigation)
Maharashtra,Nandurbar,2025-07,3100.0,0.925,-0.0596381715664879,Policy Event (High Enrollment Spike)
Chhattisgarh,Narayanpur,2025-07,0.0,0.0,-0.0274837325522497,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-03,0.0,0.0,-0.118665505477251,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-04,0.0,0.0,-0.0128765276376903,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-05,156.0,0.349,-0.0017270572045354,Unclear (Needs Investigation)
Maharashtra,Nashik,2025-06,0.0,0.0,-0.0688200952034281,Data Quality (High Lag + Low Count)
Maharashtra,Nashik,2025-07,4615.0,0.817,-0.0882927665253354,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-09,7066.0,0.742,-0.0859582075998613,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-10,2779.0,0.665,-0.011298090876697,Unclear (Needs Investigation)
Maharashtra,Nashik,2025-11,4481.0,0.59,-0.1167953485054652,Policy Event (High Enrollment Spike)
Maharashtra,Nashik,2025-12,3271.0,0.478,-0.0760100670934182,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-03,0.0,0.0,-0.1068024927180361,Data Quality (High Lag + Low Count)
West Bengal,North 24 Parganas,2025-09,10642.0,0.764,-0.0937464411827733,Policy Event (High Enrollment Spike)
West Bengal,North 24 Parganas,2025-10,5877.0,0.767,-0.0206999213068874,Policy Event (High Enrollment Spike)
